,Player,Link,StartYear,EndYear,Position,Tenure,Height,Weight,Birthday,All_Star_apps,All_NBA_apps,All_Def_apps,HOF,Games,PPG,TRPG,APG,FG_pct,3_pt_pct,FT_pct,eFG_pct,PER,WS
1361,Clay Johnson,/players/j/johnscl02.html,1982,1984,G,2,193cm,79kg,1956-07-18,0,0,0,0,80,2.8,1.2,0.6,41.0,33.3,72.4,41.2,9.1,0.7
1362,Clemon Johnson,/players/j/johnscl01.html,1979,1988,CF,9,208cm,108kg,1956-09-12,0,0,0,0,761,5.4,4.6,1.0,49.2,0.0,62.1,49.2,12.7,25.5
1363,Dakari Johnson,/players/j/johnsda04.html,2018,2018,C,0,213cm,115kg,1995-09-22,0,0,0,0,31,1.8,1.1,0.3,56.4,-,55.0,56.4,16.4,0.6
1364,Darryl Johnson,/players/j/johnsda02.html,1996,1996,G,0,185cm,77kg,1965-10-26,0,0,0,0,11,1.1,0.2,0.1,41.7,0.0,100.0,41.7,9.7,0.0
1365,Dave Johnson,/players/j/johnsda01.html,1993,1994,GF,1,201cm,95kg,1970-11-16,0,0,0,0,59,3.5,1.1,0.3,36.5,20.0,66.3,37.2,7.5,-0.3
1366,DeMarco Johnson,/players/j/johnsde02.html,2000,2000,F,0,206cm,111kg,1975-10-06,0,0,0,0,5,1.2,1.4,0.0,33.3,-,-,33.3,0.5,-0.1
1367,DerMarr Johnson,/players/j/johnsde03.html,2001,2008,F,7,206cm,91kg,1980-05-05,0,0,0,0,344,6.2,2.2,0.9,41.1,33.6,78.9,48.5,11.0,6.4
1368,Eddie Johnson,/players/j/johnsed03.html,1982,1999,FG,17,201cm,97kg,1959-05-01,0,0,0,0,1199,16.0,4.0,2.1,47.2,33.5,84.0,48.9,15.9,65.6
1369,Eric Johnson,/players/j/johnser01.html,1990,1990,G,0,188cm,92kg,1966-02-07,0,0,0,0,48,1.1,0.6,1.3,23.8,16.7,76.5,24.4,4.6,-0.4
1370,Ervin Johnson,/players/j/johnser02.html,1994,2006,C,12,211cm,111kg,1967-12-21,0,0,0,0,845,4.1,6.1,0.5,50.5,20.0,60.5,50.6,12.2,37.8
1371,Frank Johnson,/players/j/johnsfr01.html,1982,1994,G,12,185cm,83kg,1958-11-23,0,0,0,0,596,8.3,1.7,4.2,43.9,21.8,76.0,44.5,12.7,17.2
1372,George Johnson,/players/j/johnsge03.html,1979,1986,FC,7,201cm,95kg,1956-12-08,0,0,0,0,464,9.1,5.6,1.8,46.3,18.9,77.9,46.5,14.0,14.1
1373,Ivan Johnson,/players/j/johnsiv01.html,2012,2013,F,1,203cm,104kg,1984-04-10,0,0,0,0,125,6.5,3.9,0.6,51.7,15.8,66.2,51.9,15.1,4.5
1374,JaJuan Johnson,/players/j/johnsja02.html,2012,2012,F,0,208cm,100kg,1989-02-08,0,0,0,0,36,3.2,1.6,0.2,44.6,-,66.7,44.6,11.4,0.2
1375,James Johnson,/players/j/johnsja01.html,2010,2020,F,10,201cm,108kg,1987-02-20,0,0,0,0,634,8.0,3.6,2.1,47.7,31.0,69.3,51.6,14.6,24.6
1376,Joe Johnson,/players/j/johnsjo02.html,2002,2018,GF,16,201cm,108kg,1981-06-29,7,0,0,0,1276,16.0,4.0,3.9,44.1,37.1,80.2,49.7,15.4,82.8
1377,Kannard Johnson,/players/j/johnska01.html,1988,1988,F,0,206cm,99kg,1965-06-24,0,0,0,0,4,0.5,0.0,0.0,33.3,-,-,33.3,-4.6,-0.1
1378,Keldon Johnson,/players/j/johnske04.html,2020,2020,G,0,196cm,99kg,1999-10-11,0,0,0,0,17,9.1,3.4,0.9,59.6,59.1,79.5,66.9,19.1,1.1
1379,Ken Johnson,/players/j/johnske01.html,1986,1986,F,0,203cm,108kg,1962-11-07,0,0,0,0,64,4.1,3.8,0.3,52.8,-,43.5,52.8,9.3,0.8
1380,Ken Johnson,/players/j/johnske03.html,2003,2003,FC,0,211cm,108kg,1978-02-01,0,0,0,0,16,2.0,2.0,0.0,40.5,-,33.3,40.5,6.1,0.0
1381,Kevin Johnson,/players/j/johnske02.html,1988,2000,G,12,185cm,81kg,1966-03-04,3,5,0,0,735,17.9,3.3,9.1,49.3,30.5,84.1,50.1,20.7,92.8
1382,Larry Johnson,/players/j/johnsla02.html,1992,2001,F,9,198cm,113kg,1969-03-14,2,0,0,0,707,16.2,7.5,3.3,48.4,33.2,76.6,50.5,16.3,69.7
1383,Lee Johnson,/players/j/johnsle01.html,1981,1981,F,0,211cm,92kg,1957-06-16,0,0,0,0,12,1.4,1.8,0.1,28.0,-,60.0,28.0,0.8,-0.2
1384,Linton Johnson,/players/j/johnsli01.html,2004,2009,F,5,203cm,92kg,1980-06-13,0,0,0,0,151,3.9,3.3,0.4,41.6,30.5,69.9,44.4,10.9,2.6
1385,Magic Johnson,/players/j/johnsma02.html,1980,1996,GF,16,206cm,97kg,1959-08-14,12,10,0,Hall of Fame,906,19.5,7.2,11.2,52.0,30.3,84.8,53.3,24.1,155.8
1386,Nick Johnson,/players/j/johnsni01.html,2015,2015,G,0,190cm,91kg,1992-12-22,0,0,0,0,28,2.6,1.4,0.4,34.7,23.8,68.0,38.0,4.8,-0.1
1387,Omari Johnson,/players/j/johnsom01.html,2018,2018,F,0,206cm,99kg,1989-11-26,0,0,0,0,4,5.5,2.8,1.8,42.9,33.3,-,52.4,10.5,0.1
1388,Orlando Johnson,/players/j/johnsor01.html,2013,2016,G,3,196cm,99kg,1989-03-11,0,0,0,0,103,3.2,1.7,0.7,35.8,31.1,72.7,43.0,8.5,1.4
1389,Reggie Johnson,/players/j/johnsre01.html,1981,1984,FC,3,206cm,92kg,1957-06-25,0,0,0,0,305,8.4,4.1,0.9,50.5,14.3,71.6,50.5,12.5,11.0
1390,Stanley Johnson,/players/j/johnsst04.html,2016,2020,F,4,198cm,109kg,1996-05-29,0,0,0,0,310,6.6,3.2,1.4,37.4,29.3,75.5,43.4,8.7,3.4
1391,Steffond Johnson,/players/j/johnsst02.html,1987,1987,F,0,203cm,108kg,1962-11-04,0,0,0,0,29,2.6,1.5,0.2,42.2,0.0,52.6,42.2,4.7,-0.2
1392,Steve Johnson,/players/j/johnsst03.html,1982,1991,CF,9,208cm,106kg,1957-11-03,1,0,0,0,626,11.7,5.5,1.2,57.2,0.0,63.4,57.2,15.3,26.9
1393,Trey Johnson,/players/j/johnstr01.html,2009,2012,G,3,196cm,98kg,1984-08-30,0,0,0,0,23,2.6,0.9,0.7,38.5,33.3,94.7,39.4,8.1,0.0
1394,Tyler Johnson,/players/j/johnsty01.html,2015,2020,G,5,190cm,84kg,1992-05-07,0,0,0,0,309,10.5,3.2,2.5,42.9,35.9,77.6,50.0,13.4,15.8
1395,Vinnie Johnson,/players/j/johnsvi01.html,1980,1992,G,12,188cm,90kg,1956-09-01,0,0,0,0,984,12.0,3.2,3.3,46.4,25.4,74.0,46.8,15.2,50.8
1396,Wesley Johnson,/players/j/johnswe01.html,2011,2019,FG,8,201cm,97kg,1987-07-11,0,0,0,0,609,7.0,3.2,1.1,40.4,33.7,74.1,48.1,10.0,10.7
1397,Darius Johnson-Odom,/players/j/johnsda03.html,2013,2014,G,1,188cm,97kg,1989-09-28,0,0,0,0,7,0.0,0.9,0.3,0.0,0.0,0.0,0.0,-18.4,-0.3
1398,Nate Johnston,/players/j/johnsna01.html,1990,1990,F,0,203cm,95kg,1966-12-18,0,0,0,0,21,2.2,1.1,0.0,37.5,25.0,69.2,38.5,14.1,0.1
1399,Jim Johnstone,/players/j/johnsji01.html,1983,1983,CF,0,211cm,111kg,1960-09-20,0,0,0,0,23,1.3,2.0,0.5,36.7,-,45.0,36.7,4.5,-0.1
1400,Nikola Jokić,/players/j/jokicni01.html,2016,2020,CF,4,213cm,128kg,1995-02-19,2,2,0,0,381,17.0,9.6,5.5,52.4,33.8,82.6,56.1,24.9,48.7
1401,Alvin Jones,/players/j/jonesal01.html,2002,2002,C,0,211cm,120kg,1978-09-09,0,0,0,0,23,1.1,1.6,0.1,40.0,-,50.0,40.0,6.2,0.1
1402,Anthony Jones,/players/j/jonesan01.html,1987,1990,GF,3,198cm,88kg,1962-09-13,0,0,0,0,164,3.6,1.3,0.7,39.3,30.6,74.0,40.6,9.8,0.8
1403,Askia Jones,/players/j/jonesas01.html,1995,1995,G,0,196cm,90kg,1971-12-03,0,0,0,0,11,4.1,1.0,1.5,34.1,16.7,81.3,36.4,8.3,-0.1
1404,Bill Jones,/players/j/jonesbi01.html,1989,1989,F,0,201cm,79kg,1966-03-18,0,0,0,0,37,3.5,1.3,0.5,49.0,0.0,67.4,49.0,13.9,0.6
1405,Bobby Jones,/players/j/jonesbo02.html,2007,2008,F,1,201cm,97kg,1984-01-09,0,0,0,0,91,3.2,1.6,0.5,44.2,30.6,68.5,48.3,9.7,1.1
1406,Charles Jones,/players/j/jonesch01.html,1984,1998,FC,14,206cm,97kg,1957-04-03,0,0,0,0,726,2.5,4.5,0.9,48.0,0.0,61.8,48.0,9.2,24.6
1407,Charles Jones,/players/j/jonesch02.html,1985,1989,F,4,203cm,97kg,1962-01-12,0,0,0,0,201,5.0,3.8,1.0,49.3,11.1,61.1,49.4,12.2,4.5
1408,Charles Jones,/players/j/jonesch03.html,1999,2000,G,1,190cm,81kg,1975-07-17,0,0,0,0,85,3.5,1.2,1.6,32.4,32.4,62.2,41.4,9.4,0.0
1409,Dahntay Jones,/players/j/jonesda02.html,2004,2017,GF,13,198cm,102kg,1980-12-27,0,0,0,0,624,5.4,1.7,0.8,43.9,32.9,75.1,45.9,9.5,9.9
1410,Damian Jones,/players/j/jonesda03.html,2017,2020,FC,3,211cm,111kg,1995-06-30,0,0,0,0,104,4.6,3.1,0.6,66.6,22.2,67.6,66.9,14.4,4.4
1411,Damon Jones,/players/j/jonesda01.html,1999,2009,G,10,190cm,83kg,1976-08-25,0,0,0,0,657,6.6,1.6,2.7,40.7,39.0,72.7,53.3,12.4,28.0
1412,DeQuan Jones,/players/j/jonesde01.html,2013,2013,F,0,203cm,100kg,1990-06-20,0,0,0,0,63,3.7,1.7,0.3,43.6,25.7,66.7,45.6,8.4,0.1
1413,Derrick Jones,/players/j/jonesde02.html,2017,2020,F,3,198cm,95kg,1997-02-15,0,0,0,0,171,6.7,3.5,0.7,51.1,28.2,69.0,55.3,13.8,8.8
1414,Dominique Jones,/players/j/jonesdo02.html,2011,2013,G,2,193cm,97kg,1988-10-15,0,0,0,0,80,3.1,1.4,1.8,36.6,9.5,72.9,37.0,11.9,0.3
1415,Dontae' Jones,/players/j/jonesdo01.html,1998,1998,F,0,203cm,99kg,1975-06-02,0,0,0,0,15,2.9,0.6,0.3,33.3,26.1,-,38.6,3.8,-0.3
1416,Dwayne Jones,/players/j/jonesdw02.html,2006,2010,FC,4,211cm,113kg,1983-06-09,0,0,0,0,82,1.3,2.3,0.1,50.8,0.0,49.4,50.8,10.1,1.4
1417,Earl Jones,/players/j/jonesea01.html,1985,1986,C,1,213cm,95kg,1961-01-13,0,0,0,0,14,0.9,0.7,0.3,38.5,-,75.0,38.5,0.2,-0.1
1418,Eddie Jones,/players/j/jonesed02.html,1995,2008,GF,13,198cm,86kg,1971-10-20,3,0,3,0,954,14.8,4.0,2.9,43.7,37.3,80.9,50.5,16.7,100.6
1419,Edgar Jones,/players/j/jonesed01.html,1981,1986,FC,5,208cm,102kg,1956-06-17,0,0,0,0,363,9.0,4.8,0.9,50.6,26.2,71.0,51.0,15.1,15.0
1420,Fred Jones,/players/j/jonesfr01.html,2003,2009,GF,6,193cm,95kg,1979-03-11,0,0,0,0,430,7.5,2.2,2.3,41.1,35.3,80.9,47.6,11.3,16.5
1421,Hutch Jones,/players/j/joneshu01.html,1983,1984,F,1,203cm,86kg,1959-09-01,0,0,0,0,13,3.2,1.3,0.3,42.5,-,70.0,42.5,9.2,0.0
1422,Jalen Jones,/players/j/jonesja04.html,2018,2019,G,1,201cm,99kg,1993-05-27,0,0,0,0,32,4.8,2.3,0.3,40.0,37.0,67.4,47.7,11.0,0.4
1423,James Jones,/players/j/jonesja02.html,2004,2017,FG,13,203cm,98kg,1980-10-04,0,0,0,0,709,5.2,1.8,0.5,40.1,40.1,84.0,53.0,11.3,25.2
1424,Jemerrio Jones,/players/j/jonesje01.html,2019,2019,F,0,196cm,78kg,1995-04-09,0,0,0,0,6,4.5,8.2,2.2,36.4,20.0,50.0,39.4,12.1,0.2
1425,Jumaine Jones,/players/j/jonesju01.html,2000,2007,F,7,203cm,98kg,1979-02-10,0,0,0,0,471,7.1,4.2,0.9,42.4,34.9,70.4,49.4,12.5,15.1
1426,Kevin Jones,/players/j/joneske01.html,2013,2013,F,0,203cm,113kg,1989-08-25,0,0,0,0,32,3.0,2.4,0.3,40.2,-,60.0,40.2,11.1,0.2
1427,Major Jones,/players/j/jonesma01.html,1980,1985,F,5,206cm,102kg,1953-07-09,0,0,0,0,374,4.4,3.5,0.6,49.0,11.1,58.6,49.0,11.3,5.5
1428,Mark Jones,/players/j/jonesma02.html,1984,1984,G,0,185cm,79kg,1961-04-10,0,0,0,0,6,1.2,0.3,0.8,50.0,0.0,50.0,50.0,14.7,0.0
1429,Mark Jones,/players/j/jonesma03.html,2005,2005,G,0,198cm,97kg,1975-05-25,0,0,0,0,10,2.3,1.3,0.6,29.0,0.0,50.0,29.0,4.4,-0.1
1430,Ozell Jones,/players/j/jonesoz01.html,1985,1986,CF,1,211cm,106kg,1960-11-20,0,0,0,0,70,3.5,3.4,0.8,58.2,0.0,39.8,58.2,11.1,1.2
1431,Perry Jones,/players/j/jonespe01.html,2013,2015,F,2,211cm,106kg,1991-09-24,0,0,0,0,143,3.4,1.8,0.4,42.0,29.3,66.0,45.9,8.5,1.7
1432,Popeye Jones,/players/j/jonespo01.html,1994,2004,F,10,203cm,113kg,1970-06-17,0,0,0,0,535,7.0,7.4,1.3,44.7,28.1,75.1,45.0,13.3,22.0
1433,Shelton Jones,/players/j/jonessh01.html,1989,1989,F,0,206cm,95kg,1966-04-06,0,0,0,0,51,4.8,2.2,0.8,44.5,0.0,72.5,44.5,10.4,0.3
1434,Solomon Jones,/players/j/jonesso01.html,2007,2014,F,7,208cm,104kg,1984-07-16,0,0,0,0,281,3.0,2.3,0.4,46.7,11.1,71.7,46.7,10.2,5.0
1435,Terrence Jones,/players/j/joneste01.html,2013,2019,F,6,206cm,114kg,1992-01-09,0,0,0,0,234,10.4,5.7,1.0,50.1,29.7,62.1,52.4,17.1,14.7
1436,Tyus Jones,/players/j/jonesty01.html,2016,2020,G,4,183cm,88kg,1996-05-10,0,0,0,0,312,5.6,1.5,3.6,43.1,34.5,80.3,48.7,14.0,11.4
1437,Adonis Jordan,/players/j/jordaad01.html,1994,1999,G,5,180cm,77kg,1970-08-21,0,0,0,0,10,2.1,0.6,2.2,29.6,25.0,50.0,35.2,8.0,0.0
1438,DeAndre Jordan,/players/j/jordade01.html,2009,2020,C,11,211cm,120kg,1988-07-21,1,3,2,0,875,9.5,10.8,0.9,66.9,9.1,47.4,67.0,18.6,88.6
1439,Jerome Jordan,/players/j/jordaje01.html,2012,2015,C,3,213cm,114kg,1986-09-29,0,0,0,0,65,2.8,2.0,0.3,52.8,-,85.2,52.8,17.1,1.7
1440,Michael Jordan,/players/j/jordami01.html,1985,2003,GF,18,198cm,89kg,1963-02-17,14,11,9,Hall of Fame,1072,30.1,6.2,5.3,49.7,32.7,83.5,50.9,27.9,214.0
1441,Reggie Jordan,/players/j/jordare01.html,1994,2000,G,6,193cm,88kg,1968-01-26,0,0,0,0,186,2.7,1.8,1.0,43.3,33.3,58.5,43.6,14.1,3.0
1442,Thomas Jordan,/players/j/jordath01.html,1993,1993,FC,0,208cm,99kg,1968-05-23,0,0,0,0,4,11.0,4.8,0.8,43.9,-,47.1,43.9,6.9,-0.2
1443,Walter Jordan,/players/j/jordawa01.html,1981,1981,F,0,201cm,89kg,1956-02-19,0,0,0,0,30,2.3,1.4,0.4,38.7,-,58.8,38.7,8.5,-0.1
1444,Cory Joseph,/players/j/josepco01.html,2012,2020,G,8,190cm,90kg,1991-08-20,0,0,0,0,600,6.9,2.6,2.9,44.1,33.2,76.9,48.0,12.2,24.1
1445,Garth Joseph,/players/j/josepga01.html,2001,2001,C,0,218cm,142kg,1973-08-08,0,0,0,0,4,0.5,0.5,0.3,20.0,-,0.0,20.0,-5.0,-0.1
1446,Kris Joseph,/players/j/josepkr01.html,2013,2013,F,0,201cm,95kg,1988-12-17,0,0,0,0,10,0.9,0.7,0.1,14.3,0.0,62.5,14.3,0.6,-0.1
1447,Yvon Joseph,/players/j/josepyv01.html,1986,1986,C,0,211cm,111kg,1957-10-31,0,0,0,0,1,2.0,0.0,0.0,-,-,100.0,-,12.8,0.0
1448,Jeff Judkins,/players/j/judkije01.html,1979,1983,GF,4,198cm,83kg,1956-03-23,0,0,0,0,272,5.4,1.6,1.0,47.8,31.5,81.2,48.7,12.9,6.3
1449,Mfiondu Kabengele,/players/k/kabenmf01.html,2020,2020,F,0,206cm,113kg,1997-08-14,0,0,0,0,12,3.5,0.9,0.2,43.8,45.0,100.0,57.8,18.2,0.2
1450,Chris Kaman,/players/k/kamanch01.html,2004,2016,C,12,213cm,120kg,1982-04-28,1,0,0,0,735,11.2,7.6,1.3,48.9,4.2,74.3,48.9,14.9,24.6
1451,Frank Kaminsky,/players/k/kaminfr01.html,2016,2020,FC,4,213cm,108kg,1993-04-04,0,0,0,0,321,9.8,4.0,1.6,42.2,34.7,75.0,49.4,13.8,12.4
1452,Enes Kanter,/players/k/kanteen01.html,2012,2020,C,8,208cm,113kg,1992-05-20,0,0,0,0,641,11.6,7.6,0.9,54.3,28.7,77.6,54.6,20.7,44.0
1453,Jason Kapono,/players/k/kaponja01.html,2004,2012,F,8,203cm,96kg,1981-02-04,0,0,0,0,509,6.7,1.7,0.8,44.2,43.4,83.5,51.7,10.5,10.3
1454,Sergey Karasev,/players/k/karasse01.html,2014,2016,GF,2,201cm,94kg,1993-10-26,0,0,0,0,95,3.0,1.5,0.9,39.5,28.2,84.2,45.9,8.7,0.8
1455,Coby Karl,/players/k/karlco01.html,2008,2010,G,2,196cm,97kg,1983-03-06,0,0,0,0,24,2.4,1.3,1.0,34.5,25.0,75.0,39.7,9.2,0.0
1456,Mario Kasun,/players/k/kasunma01.html,2005,2006,C,1,216cm,117kg,1980-04-05,0,0,0,0,73,2.7,2.6,0.2,46.7,0.0,63.6,46.7,10.8,0.8
1457,Sasha Kaun,/players/k/kaunsa01.html,2016,2016,C,0,211cm,117kg,1985-05-08,0,0,0,0,25,0.9,1.0,0.1,52.9,-,45.5,52.9,12.5,0.2
1458,Clarence Kea,/players/k/keacl01.html,1981,1982,F,1,198cm,98kg,1959-02-02,0,0,0,0,51,3.9,2.5,0.4,48.5,0.0,69.2,48.5,13.8,1.0
1459,Adam Keefe,/players/k/keefead01.html,1993,2001,F,8,206cm,104kg,1970-02-22,0,0,0,0,617,5.0,4.1,0.7,50.2,7.1,71.4,50.2,12.9,24.9
1460,Harold Keeling,/players/k/keeliha01.html,1986,1986,G,0,193cm,83kg,1963-09-18,0,0,0,0,20,2.2,0.3,0.5,43.6,-,71.4,43.6,16.1,0.1
1461,Clark Kellogg,/players/k/kellocl01.html,1983,1987,F,4,201cm,102kg,1961-07-02,0,0,0,0,260,18.9,9.5,2.9,49.7,33.8,75.7,50.0,19.3,20.9
1462,Ryan Kelly,/players/k/kellyry01.html,2014,2017,F,3,211cm,104kg,1991-04-09,0,0,0,0,163,6.0,3.1,1.3,37.8,31.6,79.7,43.8,10.5,3.0
1463,Greg Kelser,/players/k/kelsegr01.html,1980,1985,F,5,201cm,86kg,1957-09-17,0,0,0,0,305,9.7,4.6,1.3,48.6,16.7,68.6,48.8,14.2,8.6
1464,Shawn Kemp,/players/k/kempsh01.html,1990,2003,FC,13,208cm,104kg,1969-11-26,6,3,0,0,1051,14.6,8.4,1.6,48.8,27.7,74.1,49.0,19.1,89.5
1465,Tim Kempton,/players/k/kemptti01.html,1987,1998,FC,11,208cm,111kg,1964-01-25,0,0,0,0,280,4.5,2.8,1.1,48.1,0.0,67.7,48.1,9.8,3.3
1466,Luke Kennard,/players/k/kennalu01.html,2018,2020,G,2,196cm,93kg,1996-06-24,0,0,0,0,164,9.8,2.8,2.2,44.1,40.2,86.3,53.9,12.6,7.0
1467,D.J. Kennedy,/players/k/kennedj01.html,2012,2012,F,0,198cm,97kg,1989-11-05,0,0,0,0,2,6.0,3.5,1.5,41.7,50.0,0.0,50.0,4.7,0.0
1468,Jonathan Kerner,/players/k/kernejo01.html,1999,1999,C,0,211cm,111kg,1974-06-06,0,0,0,0,1,0.0,0.0,0.0,0.0,-,-,0.0,-15.2,0.0
1469,Steve Kerr,/players/k/kerrst01.html,1989,2003,G,14,190cm,79kg,1965-09-27,0,0,0,0,910,6.0,1.2,1.8,47.9,45.4,86.4,56.4,13.1,47.2
1470,Jerome Kersey,/players/k/kerseje01.html,1985,2001,F,16,201cm,97kg,1962-06-26,0,0,0,0,1153,10.3,5.5,1.9,46.5,20.1,69.0,46.7,14.9,69.5
1471,Alec Kessler,/players/k/kesslal01.html,1991,1994,FC,3,211cm,104kg,1967-01-13,0,0,0,0,210,5.2,3.6,0.4,42.6,41.7,74.4,43.1,9.6,2.0
1472,Lari Ketner,/players/k/ketnela01.html,2000,2001,FC,1,206cm,125kg,1977-02-01,0,0,0,0,25,1.4,1.4,0.1,40.6,-,66.7,40.6,6.2,0.0
1473,Randolph Keys,/players/k/keysra01.html,1989,1996,FG,7,201cm,88kg,1966-04-19,0,0,0,0,241,5.2,2.3,0.8,42.5,27.2,72.1,44.1,10.3,2.3
1474,Viktor Khryapa,/players/k/khryavi01.html,2005,2008,F,3,206cm,95kg,1982-08-03,0,0,0,0,143,4.5,3.4,1.0,44.3,29.2,65.8,45.5,10.7,2.0
1475,Jason Kidd,/players/k/kiddja01.html,1995,2013,G,18,193cm,92kg,1973-03-23,10,6,9,Hall of Fame,1391,12.6,6.3,8.7,40.0,34.9,78.5,46.4,17.9,138.6
1476,Stanton Kidd,/players/k/kiddst01.html,2020,2020,F,0,198cm,97kg,1992-03-18,0,0,0,0,4,0.0,0.8,0.3,0.0,0.0,-,0.0,-13.7,-0.1
1477,Warren Kidd,/players/k/kiddwa01.html,1994,1994,F,0,206cm,106kg,1970-09-09,0,0,0,0,68,3.6,3.4,0.3,59.2,-,54.7,59.2,11.3,1.4
1478,Michael Kidd-Gilchrist,/players/k/kiddgmi01.html,2013,2020,F,7,198cm,105kg,1993-09-26,0,0,0,0,446,8.4,5.4,1.2,47.4,27.2,71.5,47.8,13.4,21.0
1479,Irv Kiffin,/players/k/kiffiir01.html,1980,1980,F,0,206cm,102kg,1951-08-08,0,0,0,0,26,3.2,1.5,0.7,33.3,-,72.0,33.3,3.7,-0.6
1480,Carl Kilpatrick,/players/k/kilpaca01.html,1980,1980,C,0,208cm,104kg,1956-05-16,0,0,0,0,2,1.5,2.0,0.0,50.0,-,50.0,50.0,22.7,0.0
1481,Sean Kilpatrick,/players/k/kilpase01.html,2015,2018,G,3,193cm,95kg,1990-01-06,0,0,0,0,157,10.3,2.7,1.5,41.3,33.5,86.2,48.7,13.2,2.6
1482,Bo Kimble,/players/k/kimblbo01.html,1991,1993,G,2,193cm,86kg,1966-04-09,0,0,0,0,105,5.5,1.5,0.9,38.6,29.1,72.8,40.8,8.1,0.1
1483,Stan Kimbrough,/players/k/kimbrst01.html,1990,1993,G,3,180cm,69kg,1966-04-24,0,0,0,0,13,1.6,0.5,0.5,40.9,50.0,100.0,43.2,11.2,0.1
1484,Chad Kinch,/players/k/kinchch01.html,1981,1981,G,0,193cm,86kg,1958-05-22,0,0,0,0,41,2.9,0.8,1.1,36.9,-,77.8,36.9,7.0,-0.5
1485,Albert King,/players/k/kingal01.html,1982,1992,FG,10,198cm,86kg,1959-12-17,0,0,0,0,534,12.1,4.2,2.2,46.1,26.8,79.1,46.6,13.1,16.3
1486,Chris King,/players/k/kingch01.html,1994,1999,F,5,203cm,97kg,1969-07-24,0,0,0,0,103,6.7,3.0,1.1,42.3,38.3,63.3,45.9,10.6,1.0
1487,Frankie King,/players/k/kingfr01.html,1996,1997,G,1,185cm,83kg,1972-06-06,0,0,0,0,13,2.1,1.2,0.5,35.7,33.3,75.0,37.5,11.4,0.0
1488,George King,/players/k/kingge03.html,2019,2019,GF,0,198cm,102kg,1994-01-15,0,0,0,0,1,0.0,1.0,0.0,-,-,-,-,1.9,0.0
1489,Gerard King,/players/k/kingge02.html,1999,2001,F,2,206cm,104kg,1972-11-25,0,0,0,0,126,4.5,3.1,0.7,50.3,-,74.4,50.3,12.1,3.0
1490,Jimmy King,/players/k/kingji02.html,1996,1997,G,1,196cm,95kg,1973-08-09,0,0,0,0,64,4.5,1.8,1.4,42.9,14.7,69.1,43.9,10.0,0.0
1491,Louis King,/players/k/kinglo02.html,2020,2020,F,0,201cm,92kg,1999-04-06,0,0,0,0,10,2.0,1.0,0.5,38.1,36.4,0.0,47.6,6.2,0.0
1492,Reggie King,/players/k/kingre01.html,1980,1985,F,5,198cm,102kg,1957-02-14,0,0,0,0,438,8.9,6.2,1.6,51.4,0.0,69.9,51.4,13.1,24.8
1493,Rich King,/players/k/kingri01.html,1992,1995,C,3,218cm,117kg,1969-04-04,0,0,0,0,72,1.9,1.0,0.3,39.3,0.0,66.2,39.3,10.2,0.2
1494,Stacey King,/players/k/kingst01.html,1990,1997,FC,7,211cm,104kg,1967-01-29,0,0,0,0,438,6.4,3.3,0.9,47.8,23.5,70.7,47.9,11.9,10.9
1495,Tarence Kinsey,/players/k/kinseta01.html,2007,2009,G,2,198cm,83kg,1984-03-21,0,0,0,0,109,4.7,1.3,0.5,45.3,32.4,81.7,48.1,12.4,1.6
1496,Andrei Kirilenko,/players/k/kirilan01.html,2002,2015,F,13,206cm,99kg,1981-02-18,1,0,3,0,797,11.8,5.5,2.7,47.4,31.0,75.4,50.2,18.7,75.4
1497,Alex Kirk,/players/k/kirkal01.html,2015,2015,C,0,213cm,111kg,1991-11-14,0,0,0,0,5,0.8,0.2,0.2,25.0,-,100.0,25.0,8.5,0.0
1498,Curtis Kitchen,/players/k/kitchcu01.html,1987,1987,F,0,206cm,106kg,1964-01-30,0,0,0,0,6,1.5,1.5,0.2,50.0,0.0,75.0,50.0,18.5,0.1
1499,Greg Kite,/players/k/kitegr01.html,1984,1995,C,11,211cm,113kg,1961-08-05,0,0,0,0,680,2.5,3.8,0.5,43.8,16.7,48.6,43.8,6.5,5.6
1500,Kerry Kittles,/players/k/kittlke01.html,1997,2005,G,8,196cm,81kg,1974-06-12,0,0,0,0,507,14.1,3.9,2.6,43.9,37.8,78.0,49.3,16.0,44.8
1501,Maxi Kleber,/players/k/klebima01.html,2018,2020,F,2,208cm,108kg,1992-01-29,0,0,0,0,217,7.1,4.4,1.0,46.6,35.5,80.1,56.3,13.4,11.1
1502,Joe Kleine,/players/k/kleinjo01.html,1986,2000,C,14,211cm,115kg,1962-01-04,0,0,0,0,965,4.8,4.1,0.6,45.3,27.1,79.4,45.4,10.5,19.1
1503,Linas Kleiza,/players/k/kleizli01.html,2006,2013,F,7,203cm,111kg,1985-01-03,0,0,0,0,409,8.7,3.6,0.8,43.5,33.5,76.3,50.2,12.4,13.6
1504,Brandin Knight,/players/k/knighbr02.html,2005,2005,G,0,183cm,81kg,1981-12-16,0,0,0,0,1,0.0,0.0,1.0,0.0,-,-,0.0,-1.2,0.0
1505,Brandon Knight,/players/k/knighbr03.html,2012,2020,G,8,188cm,82kg,1991-12-02,0,0,0,0,446,14.1,3.1,4.0,41.1,35.3,80.6,47.6,13.7,11.5
